,userName,score,at,content
0,Ade L. Biyantara,1,2022-11-28 15:21:58,"Ini aplikasi gimana si loading terus, baru beli cctv mau konek aja gabisa"
1,Vina Dewi,1,2022-11-28 14:57:00,"App is so broken now. Force close on its own, not connected to devices quickly, loads slow, disconnected from devices, etc."
2,Martinus Wibisono,3,2022-11-28 14:42:57,"It crashes every single day, I have to restart my smartphone every time, not good enough for an app"
3,Christian Hariyanto,1,2022-11-28 14:23:37,"Sangat buruk, skrg aplikasi tidak bisa buka kamera, tidak bisa untuk fungsi lainnya juga hanya muter2 terus. Jadi ragu2 mau beli produk bardi lagi."
4,Friskadia Putri Ekinasmara,1,2022-11-28 14:11:17,Force close di xiao mi jd harus bolak balik dicoba sampe bisa dibuka apps nya. It's already weeks kaya gini. lemot pake banget di samsung...seringnya. Kadang aja bisa. Lampu2 dirumah pake bardi...cctv...alarm...oh please...
5,FuziMutt,2,2022-11-28 14:08:17,"App is slowly breaking, very slow now can't turn off my lights without waiting for more than 5 mins👎"
6,dipsi,5,2022-11-28 11:16:01,incredible!
7,Ibrahim Darwis,4,2022-11-27 19:01:12,"Working fine before, but now if I open Bardi smart home app, it's always keep stopping"
8,Kusnadi Panji,5,2022-11-27 14:46:48,👍👍👍👍👍👍👍👍👍👍👍👍
9,Muhammad Halley,5,2022-11-27 13:42:19,good
10,Yusuf Hidayat,5,2022-11-27 10:46:06,very helpful for monitoring cctv
11,Chris Hutama,5,2022-11-26 17:33:40,Murce bgt cloud service nya daripada pusing sama sdcard error
12,ali ibrahim,5,2022-11-26 07:43:28,keren
13,Andreas Silalahi,1,2022-11-26 04:03:01,Nyesal beli produk bardi. Aplikasinya seringkali error. App crash dan force close. Padahal harga hardwarenya lebih mahal daripada merk lain. Beli ini karena menghargai produk lokal. Ternyata masuk angin
14,Achmad DRizy,1,2022-11-25 14:01:36,"bad apps, i ever had"
15,Singgih Apriyanto,2,2022-11-24 16:05:05,Force close and cannot open very often
16,Mulyo Sentono,1,2022-11-22 14:31:53,"Menyusahkan dan tidak efisien, benar2 hanya bergantung pada sinyal yg kuat. Ketika koneksi internet lemah, device sering sekali tidak terhubung dan sulit untuk reset maupun pairing. Aplikasinya pun terlalu berat, tidak efisien. Beberapa kali coba menggunakan fitur feedback, tapi tidak berguna."
17,Ardi Kurniawan,1,2022-11-22 13:25:59,"User experience buruk. Susah buat masuk aplikasi. Harus 3-5 kali buka aplikasi untuk masuk. Sudah sering disarankan clear cache, tapi tetap saja. Produk nya bagus, murah, tapi aplikasi nya buruk. Semoga segera ada update software untuk memperbaiki kendala ini."
