"","text"
"1"," aasi gimana si loading   beli cctv  konek aja gabisa"
"2","as so broken now force close on its own not connected to devices quickly loads slow disconnected from devices etc"
"3","it crashes every single day i have to restart my smarte every time not good enough for an app"
"4"," buruk skrg aasi   buka kamera    fungsi    muter   ragu  beli uk bardi "
"5","force close  xiao mi jd  bolak  dicoba samisa dibuka anya its already weeks kaya gini lemot  banget  samsungseringnya kadang aja  lamdirumah  bardicctvalarmoh "
"6","as slowly breaking very slow now cant turn off my lights without waiting for more than  mins"
"7","incredible"
"8","working fine before but now if i obardi smart home ats always keeog"
"9",""
"10","good"
"11","very hel for monitoring cctv"
"12","murce bgt cloud service nya  ng  sdcard error"
"13","keren"
"14","nyesal beli uk bardi aasinya seringkali error arash  force close  harga hardwarenya  mahal  merk  beli   menghargai uk lokal  masuk angin"
"15","bad ai ever had"
"16","force close and cannot overy often"
"17","menyusahkan   efisien   bergantung  sinyal yg kuat  koneksi internet lemah device    terhubung  sulit  reset mauing aasinya  berat  efisien beberaali coba  fitur feedback taidak berguna"
"18","user exence buruk susah  masuk aasi   kali buka aasi  masuk   disarankan clear cache taetaja produk nya bagus murah taasi nya buruk semoga   ue software  memaiki kendala "
"19","good"
"20","very good"
"21","setia detik skali  message notification  bardi smart home failed to start several times  tiacancel   matiin lamll aman smua cman mesti klik cancel   urus lampu"
"22","keren cenyambungnya"
"23","the awesome apps"
"24","good"
"25","got multiannouncement when ong the about bardi failed to start several times and after i clear history  delete the at still giving me the announcement it doesnt solve any lem and annoying"
"26","intuitif ui mantab"
"27","good uct"
"28","akasi  crash     device cctv sy ga  baca storage  lgsg  bersamaan lucu "
"29","everything works comely fine and awesome "
"30","hel  easy to use  technical sut also ently hel to troubleshot lem"
"31","ahat should only use to access or configure your home device now with non bardi ads very irrelevant"
"32","okee"
"33","totally doesnt work on  m"
"34"," crash aasinya tolong aiki"
"35","it works really well and user friendly"
"36","membantu  memgatur on off lampu"
"37","kadang suka force close"
"38","owesome"
"39","awesome"
"40","keeking review thats why i gave  star"
"41","aya h ngga lolos qa    mah kalo   bardi  ing  aamini"
"42","easy to use"
"43","the as hard to o"
"44","ok"
"45","hang logo bardi stelah ue android "
"46"," kalo dinyalain    byar "
