"","klasifikasi","score","text"
"1","Netral",0," aasi gimana si loading   beli cctv  konek aja gabisa"
"2","Netral",0,"as so broken now force close on its own not connected to devices quickly loads slow disconnected from devices etc"
"3","Netral",0,"it crashes every single day i have to restart my smarte every time not good enough for an app"
"4","Negatif",-2," buruk skrg aasi   buka kamera    fungsi    muter   ragu  beli uk bardi "
"5","Negatif",-1,"force close  xiao mi jd  bolak  dicoba samisa dibuka anya its already weeks kaya gini lemot  banget  samsungseringnya kadang aja  lamdirumah  bardicctvalarmoh "
"6","Netral",0,"as slowly breaking very slow now cant turn off my lights without waiting for more than  mins"
"7","Netral",0,"incredible"
"8","Netral",0,"working fine before but now if i obardi smart home ats always keeog"
"9","Netral",0,""
"10","Netral",0,"good"
"11","Netral",0,"very hel for monitoring cctv"
"12","Netral",0,"murce bgt cloud service nya  ng  sdcard error"
"13","Positif",1,"keren"
"14","Positif",2,"nyesal beli uk bardi aasinya seringkali error arash  force close  harga hardwarenya  mahal  merk  beli   menghargai uk lokal  masuk angin"
"15","Netral",0,"bad ai ever had"
"16","Netral",0,"force close and cannot overy often"
"17","Positif",1,"menyusahkan   efisien   bergantung  sinyal yg kuat  koneksi internet lemah device    terhubung  sulit  reset mauing aasinya  berat  efisien beberaali coba  fitur feedback taidak berguna"
"18","Netral",0,"user exence buruk susah  masuk aasi   kali buka aasi  masuk   disarankan clear cache taetaja produk nya bagus murah taasi nya buruk semoga   ue software  memaiki kendala "
"19","Netral",0,"good"
"20","Netral",0,"very good"
"21","Netral",0,"setia detik skali  message notification  bardi smart home failed to start several times  tiacancel   matiin lamll aman smua cman mesti klik cancel   urus lampu"
"22","Positif",1,"keren cenyambungnya"
"23","Netral",0,"the awesome apps"
"24","Netral",0,"good"
"25","Netral",0,"got multiannouncement when ong the about bardi failed to start several times and after i clear history  delete the at still giving me the announcement it doesnt solve any lem and annoying"
"26","Positif",2,"intuitif ui mantab"
"27","Netral",0,"good uct"
"28","Negatif",-2,"akasi  crash     device cctv sy ga  baca storage  lgsg  bersamaan lucu "
"29","Netral",0,"everything works comely fine and awesome "
"30","Netral",0,"hel  easy to use  technical sut also ently hel to troubleshot lem"
"31","Netral",0,"ahat should only use to access or configure your home device now with non bardi ads very irrelevant"
"32","Netral",0,"okee"
"33","Netral",0,"totally doesnt work on  m"
"34","Netral",0," crash aasinya tolong aiki"
"35","Netral",0,"it works really well and user friendly"
"36","Netral",0,"membantu  memgatur on off lampu"
"37","Netral",0,"kadang suka force close"
"38","Netral",0,"owesome"
"39","Netral",0,"awesome"
"40","Netral",0,"keeking review thats why i gave  star"
"41","Netral",0,"aya h ngga lolos qa    mah kalo   bardi  ing  aamini"
"42","Netral",0,"easy to use"
"43","Netral",0,"the as hard to o"
"44","Netral",0,"ok"
"45","Negatif",-1,"hang logo bardi stelah ue android "
"46","Netral",0," kalo dinyalain    byar "
"47","Netral",0,"been using  bardi cctv for more than  months the ai is ok urevideo is good but one thing that really annoying everytime theres r outage or wifi lem those two devices will stay offline even after r is uain  wifi is back to normal to resolve it i need to reach the r charger un and  it again to r socket its not the lem with wifi i have of other cctv brand that works flawlessly everytime theres r outage  wifi lem"
"48","Netral",0,"video download  hp disembunyikan lokasi imn nya trus fungsi nya aalau gak   akses  aasi "
"49","Positif",1," bermanfaat"
"50","Positif",1," link  google assistant lancar taeberaari  ntah ok google nyalakan lamamar  google nest  maaf   mengerti tantuk menyalakan ta run lancar     ntah nyala mati laman breaker    tanggaengan maaf   mengerti tolong  bantu"
"51","Netral",0,"thank you bardi"
"52","Netral",0,"mantap"
"53","Positif",1,"bermanfaat  tis  mudah diaasikan"
"54","Netral",0,"the lam good but the as always quitting unexedly"
"55","Netral",0,"its a good aut crashed all the time its closed on its own and oon its own im tired of that honestly  fix this"
"56","Netral",0,"good tools"
"57","Netral",0,"the as getting more stable good work"
"58","Netral",0,"acrashing need an ue emergency"
"59","Netral",0,"klaim garansi mudah diu   admin fast resuk   worth it  harganya"
"60","Netral",0,"ok"
"61","Netral",0,"the best acation for home monitoring at anytime"
"62","Positif",1,"keren"
"63","Netral",0,"gud"
"64","Netral",0,"so far no comn works very well"
"65","Netral",0," versi bluetooth mudah error"
"66","Netral",0,"so far so good"
"67","Positif",1,"bardi tolong  ude teknologi berinovasi  cctv   ngomong     ketik  jd   rja beeguna banget  ngasih tau  dirumah   semngmg lgsg  jaringan yg terkendala utk ngmg lgsg  kamera"
"68","Netral",0," memuaskan"
"69","Netral",0,"great aor smart house"
"70","Positif",1,"please add dark mode for this ahank you"
"71","Positif",1,"pengosian mudah fitur  lengkan   kendala service centernya cetanggarta membantu   teratasi"
"72","Negatif",-1," aasi nya   lemot"
"73","Positif",1,"bagus  aasi nya"
"74","Positif",1,"keren"
"75","Negatif",-2,"lemot  tombol remote ac  lengkap"
"76","Positif",1,"mulus"
"77","Netral",0,"so far so good"
"78","Netral",0,"nice app"
"79","Netral",0,"ok"
"80","Netral",0,"nice apps"
"81","Positif",1,"masuk  halaman utama    stuck  boot menu   etujuan   klik setuju mautidak setuju   menu  lg"
"82","Netral",0," add motion follow"
"83","Netral",0,"very good acation "
"84","Positif",1,"keren turang  sleede tbtb bgtu kn"
"85","Netral",0,"schedule r onoff lamidak berfungsi  "
"86","Netral",0,"very good"
"87","Negatif",-1,"aasi  crash    daman listrik device   scan ulang habiskan    merean  lasana  tetaidak  solusi"
"88","Netral",0,"the an its very slow to obardi deviceor relogin its annoying"
"89","Netral",0," good"
"90","Netral",0,"nice reliable"
"91","Netral",0,"good motiondetector"
"92","Netral",0,"video result include sound recording was good oted"
"93","Netral",0,"good app"
"94","Negatif",-1,"bardi smart home sahabat masyarakat"
"95","Netral",0,"always offline even when im not turn off the lamd always want to reconnect"
"96","Netral",0,"good"
"97","Netral",0,"best afor manage iot from bardi"
"98","Netral",0,"install  ngnya  mudah   ng  i    thanks bardi"
"99","Netral",0,"oke"
"100","Netral",0,"akasinya bagus ga ngelag"
"101","Netral",0,"good"
"102","Netral",0,"good"
"103","Netral",0,"mantap"
"104","Netral",0,"josss knya"
"105","Netral",0,"great lov it"
"106","Netral",0,"just nice "
"107","Netral",0,"mantap"
"108","Netral",0,"error much"
"109","Netral",0,"good home system "
"110","Positif",5,"alhamdulillah   puas  aasi bardi smart home  karna  fitur canggih yg dibutuhkan warga bergaya hidudern  dlm aasi  saran   produk bardi smart light bulb w  w rgbww wifi  dibikin ude version i wifibluetooth combo biar  fleksibel    memilih i koneksi asoalnya la bbrhun  udah  disematkan i mini pcie wlanbluetooth combo    asi bohlam bardi "
"111","Netral",0,"brilliant bulb if only res to voice or clap"
"112","Negatif",-1,"the ajust an absolute lag i used an indoor cctv the button in the awas so unresive and the video was so laggy would give a  if the awere better"
"113","Netral",0,"very good"
"114","Positif",2,"keren  bermanfaat"
"115","Positif",1,"pakai cctv    buka dg jaringan wifi yg  loading nya cedan langsung  buka talau  buka  temlain dg jaringan mobile lelet nya  amerror melulu  gak  kebuka  jaringan mobile bagus"
"116","Netral",0,"aasi crash  muncul keterangan your aas quit unexedly multitimes we recommend you clear the cache and restart the a taache udah clear    hadeh "
"117","Negatif",-1," ue  aasi  bug aasi forcedstoluar  g   an"
"118","Netral",0,"joss  "
"119","Netral",0," back ah  timenya i ketik"
"120","Netral",0,"bardi smart home offers many conveniences in human life"
"121","Netral",0,"easy to used"
"122","Positif",1,"     fitur watt monthly  weekly sei  tuya"
"123","Netral",0,"bardi so smart"
"124","Positif",1,"mantab"
"125","Netral",0,"enough for me"
"126","Netral",0,"great app"
"127","Netral",0,"work good"
"128","Netral",0,"bardi smart is good "
"129","Netral",0,"great"
"130","Positif",1," firmware ue  cctv  temberbeda  terdeteksi offline      cctv nyala  lamiru nyala tanedianda inet kuat n stabil   charger  dicabut  didisconnect berkali kali  kedeteksi online movement detection notif jg konstan muncul taiau check gagal ngeload     dicabut n disconnect tetedeteksi offline jelek bgt kualitas yg subsidi x to"
"131","Netral",0,"aasi error  buka tutundiri"
"132","Netral",0,"mantenget murah taanggih"
"133","Positif",1,"kalo dark mode nya nyala aa crash mulu"
"134","Netral",0,"good apps"
"135","Netral",0,"sometimes failed to connect and bit laggy"
"136","Netral",0," suka uk  bardi"
"137","Netral",0," bug  os android   aasi   dibuka   kalinya  restart hru  terbuka  mohon atensinya   diaiki  cukunyak kai bardi   os android  terimakasih"
"138","Netral",0,"user friendly"
"139","Netral",0,"easy to use"
"140","Netral",0,"countdown timer doesnt work anymore  edited they have fixed it"
"141","Netral",0,""
"142","Negatif",-1,"   aa  not resing ga  dibuka  "
"143","Netral",0,"bagusss  murah"
"144","Positif",1,"bagus "
"145","Negatif",-3,"overall ui nya cukudah   i  ip camera static bardi  lihat back talayback ga   fast forward  sulit  datimestamr detik yg  auga  crash setiali  keseringan geser timestamsalahnya  datimestama aja ga gam pas  back sd card  suka ga kebaca  ga    restart atolong   ue ya  memudahkan back ip camera nya ya terima kasih"
"146","Negatif",-3,"server cctv  tdk meresdan gagal menaman streamings inet   khusus utk  cctv bardi mbalu skrg  bahan  konsumsi rekaman cctv jenis hd bardi athn  dng microsd gb mamerekam full  skrg udah thnan ssd yg  n normal    rekam hr lbh bbrm  notifikasi alarm erakan cctv  lambat munculnya"
"147","Netral",0,"iya"
"148","Netral",0,"modelnya oke"
"149","Netral",0,"nice one"
"150","Netral",0,"rancak bana"
"151","Netral",0,"clear  simple"
"152","Positif",1,"i bardi jd  mudah hd  aman"
"153","Netral",0,"worthed "
"154","Netral",0,"mantaurah taidak murahan rekomendasi "
"155","Negatif",-2," lemot  bug  android kl  ie lancar"
"156","Positif",1,"bagus"
"157","Netral",0,"usefull"
"158","Netral",0,"beberaevice   dimatikan  google home"
"159","Negatif",-1,"lagging and error after ue just to othe aill downgrade my aersion"
"160","Netral",0,"ok"
"161","Netral",0,"good"
"162","Netral",0,"first time gunain smart device   gue seneng exence nya memuaskan thank you bardi"
"163","Netral",0,"ok bosque"
"164","Netral",0,"aeerashing  out of  times so frustrating cant even dim my lights or do anything because of it"
"165","Positif",2," instal bardi adi  hp utk smart door lock tauanya tdk  data  yg akurat utk record unlock smart door key yg mestinya saturday tertulis wednesday  hp  sunday  hp   hp tdk  re time stamk data yg  dihari sblmnya aneh"
"166","Negatif",-1,"the bestt ga nyesel beli "
"167","Netral",0,"terbaik ga nyesel"
"168","Netral",0,"thanks for the fast rese technician  star for now it take me an hour wondering what can i do"
"169","Netral",0,"very good"
"170","Netral",0,"nice"
"171","Netral",0,"aasinya    dibukagunakan  ue trus  gimana"
"172","Netral",0,"imsive app"
"173","Netral",0,"mantul"
"174","Negatif",-1," memudahkan hidu masukan seinya   bug  u diberesin  beberaali gagal buka a overall  memuaskan "
"175","Netral",0,"lancar   "
"176","Positif",1,"mantab aasinya bs record hasil rekaman kemaren  tersimdatanya  galeri hp"
"177","Netral",0,"work verywell"
"178","Netral",0,"recommended"
"179","Netral",0,"very hel and easy ating"
"180","Netral",0,"easy to use and a lot of function menu that you can setting ud customize as well but i dont know about the data security for cctv"
"181","Netral",0,"good"
"182","Negatif",-3,"app  force close memori   format  memori samsung endurance yg kusus cctv ganti sandisk endurance jga gitu  bilang memori kw  app   gimana gabisa  bukak restart  isntall ulang obat nya   forum  nya  ganti  vgen blablabla"
"183","Positif",1,"  buggy tada lumayan oke"
"184","Netral",0,"really hel acation nice to try"
"185","Netral",0,"   u embangan   error"
"186","Positif",1,"bagus   gambar nya"
"187","Positif",1," bermanfaat"
"188","Netral",0," membantu"
"189","Netral",0,"aasi  membantu  mudah "
"190","Netral",0,"mudah   simple"
"191","Negatif",-1,"kadang suka mati    tinggal sehari aya offline  udah  kuota  locationnya  tetenyalain tauka offline teruss aya tolong yaa  aiki"
"192","Netral",0,"  mereset  klo  konek   langsung setting dr  sdh bs   setiau konek dgn   reset koneksi  merean"
"193","Netral",0,"nice"
"194","Netral",0,"excellent app"
"195","Netral",0,"suhandy app"
"196","Netral",0,"best smart home device very easy to setup"
"197","Netral",0,"very good"
"198","Negatif",-2,"jalan jalan   gebang siang"
"199","Negatif",-1,"ue nya gagal mulu"
